Incidentally 14-advmod
Why 16-advmod
does 16-aux
this 15-det
generation 16-nsubj
seek 9-ccomp
a 18-det
sign 16-obj
? 2-punct

by 6-case
Mr 6-compound
Salafranca 6-compound
Sánchez 6-compound
- 6-punct
Neyra 27-obl
and 10-cc
Mrs 10-compound
De 10-compound
Keyser 6-conj
, 10-punct
on 13-case
behalf 10-nmod
of 16-case
the 16-det
Committee 13-nmod
on 19-case
Foreign 19-compound
Affairs 16-nmod
, 10-punct
on 25-case
EU 25-compound
election 25-compound
observation 25-compound
missions 10-nmod
: 27-punct
objectives 0-root
, 27-punct
practices 27-conj
and 32-cc
future 32-amod
challenges 27-conj
. 27-punct

At 3-case
54 3-nummod
wk 14-obl
, 14-punct
these 6-det
cells 14-nsubj
in 12-case
the 12-det
alphaA 11-compound
/ 11-punct
BKO 12-compound
lenses 6-nmod
were 14-cop
larger 0-root
in 18-case
cross 17-dep
sectional 18-amod
diameter 14-obl
than 21-case
wild 21-amod
type 14-obl
, 14-punct
and 24-cc
exhibited 14-conj
a 28-det
much 27-advmod
greater 28-amod
variation 24-obj
in 36-case
the 31-det
cross 32-obl:npmod
sectional 36-amod
size 36-compound
and 35-cc
cell 33-conj
shape 24-obl
. 14-punct

Following 4-case
the 4-det
personal 4-amod
interviews 13-obl
of 9-case
the 9-det
three 9-nummod
new 9-amod
candidates 4-nmod
, 13-punct
I 13-nsubj
would 13-aux
like 0-root
to 15-mark
emphasise 13-xcomp
the 18-det
good 18-amod
showing 15-obj
made 18-acl
by 22-case
Mr 22-compound
Cretin 19-obl
, 22-punct
the 26-det
French 26-amod
candidate 22-appos
, 22-punct
who 30-nsubj
will 30-aux
bring 22-acl:relcl
to 33-case
the 33-det
Court 30-obl
his 36-nmod:poss
considerable 36-amod
experience 30-obj
in 39-case
international 39-amod
auditing 36-nmod
, 39-punct
both 39-dep
in 43-case
connection 39-conj
with 46-case
the 46-det
UN 39-obl
and 48-cc
NATO 46-conj
. 13-punct

Aaron 3-nsubj
shall 3-aux
make 0-root
atonement 3-obj
on 7-case
its 7-nmod:poss
horns 3-obl
once 3-advmod
in 11-case
the 11-det
year 8-obl
; 3-punct
with 15-case
the 15-det
blood 28-obl
of 19-case
the 19-det
sin 19-compound
offering 15-nmod
of 21-case
atonement 19-nmod
once 21-advmod
in 25-case
the 25-det
year 22-obl
he 28-nsubj
shall 28-aux
make 3-parataxis
atonement 28-obj
for 31-case
it 29-nmod
throughout 34-case
your 34-nmod:poss
generations 28-obl
. 3-punct

The 2-det
omission 12-nsubj
of 4-case
definitions 2-nmod
of 8-case
a 8-det
severity 8-compound
classification 4-nmod
was 12-cop
a 12-det
glaring 12-amod
hole 0-root
in 16-case
the 16-det
whole 16-amod
proposal 12-nmod
. 12-punct

He 2-nsubj
took 0-root
away 2-compound:prt
the 5-det
horses 2-obj
that 12-obj
the 8-det
kings 12-nsubj
of 10-case
Judah 8-nmod
had 12-aux
given 5-acl:relcl
to 15-case
the 15-det
sun 12-obl
, 2-punct
at 19-case
the 19-det
entrance 2-obl
of 22-case
the 22-det
house 19-nmod
of 24-case
Yahweh 22-nmod
, 2-punct
by 28-case
the 28-det
room 2-obl
of 31-case
Nathan 31-compound
Melech 28-nmod
the 33-det
officer 31-dep
, 31-punct
who 39-nsubj
was 39-cop
in 39-case
the 39-det
court 31-acl:relcl
; 2-punct
and 43-cc
he 43-nsubj
burned 2-conj
the 45-det
chariots 43-obj
of 48-case
the 48-det
sun 45-nmod
with 50-case
fire 43-obl
. 2-punct

David 2-nsubj
came 0-root
to 5-case
Baal 5-compound
Perazim 2-obl
, 2-punct
and 9-cc
David 9-nsubj
struck 2-conj
them 9-obj
there 9-advmod
; 2-punct
and 15-cc
he 15-nsubj
said 2-conj
, 15-punct
	 punct-15:punct
Yahweh 20-nsubj
has 20-aux
broken 15-ccomp
my 22-nmod:poss
enemies 20-obj
before 24-case
me 20-obl
, 20-punct
like 28-case
the 28-det
breach 20-obl
of 30-case
waters 28-nmod
. 2-punct
	 punct-2:punct

You 3-nsubj
can 3-aux
do 0-root
it 3-obj
at 7-case
another 7-det
time 3-obl
, 3-punct
but 13-cc
I 13-nsubj
can 13-aux
not 13-advmod
give 3-conj
you 13-iobj
the 16-det
floor 13-obj
now 13-advmod
. 3-punct

Each 3-det
young 3-amod
woman 5-nmod:poss
's 3-case
turn 6-nsubj
came 0-root
to 8-mark
go 6-xcomp
in 12-case
to 12-case
King 12-compound
Ahasuerus 8-obl
after 15-case
her 15-nmod:poss
purification 12-nmod
for 18-case
twelve 18-nummod
months 15-nmod
( 8-punct
for 24-mark
so 24-advmod
were 24-cop
the 24-det
days 8-advcl
of 27-case
their 27-nmod:poss
purification 24-nmod
accomplished 27-acl
, 28-punct
six 31-nummod
months 28-obl
with 31-case
oil 31-dep
of 35-case
myrrh 33-nmod
, 31-punct
and 39-cc
six 39-nummod
months 31-conj
with 39-case
sweet 42-amod
fragrances 39-dep
and 45-cc
with 45-case
preparations 31-conj
for 47-mark
beautifying 45-acl
women 47-obj
) 8-punct
. 6-punct

but 3-cc
they 3-nsubj
shouted 0-root
, 3-punct
saying 3-xcomp
, 5-punct
	 punct-5:punct
Crucify 5-ccomp
! 3-punct

because 4-mark
of 4-case
the 4-det
day 28-csubj
that 6-nsubj
comes 4-acl:relcl
to 8-mark
destroy 6-xcomp
all 10-det:predet
the 8-iobj
Philistines 8-obj
, 6-punct
to 14-mark
cut 6-xcomp
off 14-compound:prt
from 17-case
Tyre 14-obl
and 19-cc
Sidon 17-conj
every 21-det
helper 14-obj
who 23-nsubj
remains 21-acl:relcl
: 4-punct
for 26-case
Yahweh 4-obl
will 28-aux
destroy 0-root
the 30-det
Philistines 28-obj
, 30-punct
the 33-det
remnant 30-appos
of 36-case
the 36-det
isle 33-nmod
of 38-case
Caphtor 36-nmod
. 28-punct

In 3-case
its 3-nmod:poss
communication 9-obl
, 9-punct
the 6-det
Commission 9-nsubj
is 9-aux
now 9-advmod
proposing 0-root
a 12-det
new 12-amod
way 9-obj
of 14-mark
delimiting 12-acl
these 16-det
areas 14-obj
using 14-advcl
eight 20-nummod
different 20-amod
criteria 17-obj
, 20-punct
which 24-nsubj:pass
are 24-aux:pass
intended 20-acl:relcl
to 26-mark
lead 24-xcomp
to 30-case
a 30-det
complete 30-amod
re-definition 26-obl
of 33-case
these 33-det
areas 30-nmod
. 9-punct

Expression 2-compound
studies 3-nsubj
demonstrated 0-root
the 5-det
distribution 3-obj
of 8-case
Annexin 8-compound
A7 5-nmod
in 12-case
a 12-det
wide 12-amod
variety 3-obl
of 14-case
tissues 12-nmod
and 16-cc
cells 14-conj
mainly 18-advmod
enriched 14-acl
in 21-case
the 21-det
cytosol 18-obl
in 24-case
close 24-amod
association 21-nmod
with 27-case
membranous 27-amod
structures 18-obl
, 3-punct
but 33-cc
it 33-nsubj:pass
was 33-aux:pass
also 33-advmod
described 3-conj
in 36-case
the 36-det
nucleus 33-obl
of 40-case
adrenal 40-amod
chromaffin 40-compound
cells 36-nmod
[ 42-punct
4 33-dep
] 42-punct
. 3-punct

The 3-det
exchange 3-compound
strategy 5-nsubj:pass
is 5-aux:pass
detailed 0-root
in 8-case
Figure 8-compound
3A 5-obl
. 5-punct

Community 2-compound
action 0-root
in 5-case
the 5-det
field 2-obl
of 9-case
marine 9-amod
environmental 9-amod
policy 5-nmod
( 2-punct
vote 2-dep
) 2-punct

Denominations 8-nsubj
and 4-cc
technical 4-amod
specifications 1-conj
of 7-case
euro 7-compound
coins 4-nmod
intended 0-root
for 10-case
circulation 8-obl
( 8-punct

In 2-case
addition 7-obl
, 7-punct
the 5-det
protein 7-nsubj:pass
is 7-aux:pass
overexpressed 0-root
in 10-case
human 10-amod
cancers 7-obl
of 13-case
many 13-amod
tissues 10-nmod
, 10-punct
such 17-case
as 15-fixed
lung 10-nmod
, 17-punct
liver 17-conj
, 17-punct
brain 17-conj
, 17-punct
breast 17-conj
, 17-punct
kidney 17-conj
and 27-cc
skin 17-conj
( 29-punct
40 7-dep
) 29-punct
. 7-punct

Previously 5-advmod
we 5-nsubj
have 5-aux
not 5-advmod
had 0-root
such 8-det:predet
an 8-det
experience 5-obj
, 5-punct
and 13-cc
I 13-nsubj
must 13-aux
say 5-conj
that 19-mark
exceptionally 16-advmod
great 17-amod
efforts 19-nsubj:pass
were 19-aux:pass
made 13-ccomp
, 19-punct
both 24-cc:preconj
by 24-case
the 24-det
Council 19-obl
and 27-cc
by 27-case
Parliament 24-conj
, 24-punct
and 33-cc
especially 33-advmod
by 33-case
Mr 33-compound
Weber 24-conj
, 19-punct
in 36-mark
arriving 19-advcl
at 39-case
the 39-det
point 36-obl
we 43-nsubj
are 43-cop
at 43-case
today 39-acl:relcl
. 5-punct

The 2-det
onset 15-nsubj:pass
of 6-case
some 6-det
transcriptional 6-amod
programs 2-nmod
in 8-case
neurons 6-nmod
, 15-punct
however 15-advmod
, 15-punct
has 15-aux
also 15-advmod
been 15-aux:pass
shown 0-root
to 17-mark
occur 15-xcomp
long 17-advmod
after 21-mark
neurons 21-nsubj
exit 17-advcl
the 24-det
cell 24-compound
cycle 21-obj
. 15-punct

Most 2-amod
people 11-nsubj
with 5-case
albinism 5-compound
die 2-nmod
of 8-case
skin 8-compound
cancer 5-nmod
before 10-case
they 8-nmod
reach 0-root
age 11-obj
30 12-nummod
. 11-punct

Neither 2-nsubj
has 0-root
he 2-obj
seen 3-acl
perverseness 4-obj
in 7-case
Israel 4-obl
. 2-punct

Why 6-advmod
then 1-advmod
were 6-cop
you 6-nsubj
not 6-advmod
afraid 0-root
to 8-mark
speak 6-xcomp
against 11-case
my 11-nmod:poss
servant 8-obl
, 8-punct
against 14-case
Moses 8-obl
? 6-punct
	 punct-6:punct

In 3-amod
vitro 1-dep
studies 16-nsubj
using 3-acl
the 15-det
Madin 8-compound
- 8-punct
Darby 15-compound
canine 10-amod
kidney 14-compound
( 12-punct
MDCK 10-dep
) 12-punct
cell 15-compound
line 4-obj
demonstrated 0-root
an 20-det
endoplasmic 20-amod
reticulum 20-compound
pattern 16-obj
for 24-case
the 24-det
mutant 24-compound
protein 20-nmod
, 20-punct
and 28-cc
apparent 28-amod
resistance 20-conj
to 30-case
translocation 28-nmod
. 16-punct

The 3-det
next 3-amod
item 7-nsubj
is 7-cop
the 7-det
oral 7-amod
question 0-root
( 7-punct
http://www.europarl.europa.eu/sides/getDoc.do?type=OQ&reference=O-2007-0038&language=PL 7-dep
	 punct-9:punct
- 9-punct
B6 9-appos
- 12-punct
0136/2007 12-nummod
) 7-punct
to 18-case
the 18-det
Commission 7-nmod
by 21-case
Mr 21-compound
Andersson 18-nmod
, 18-punct
on 24-case
behalf 18-obl
of 27-case
the 27-det
Committee 24-nmod
on 32-case
Employment 32-compound
and 31-cc
Social 29-conj
Affairs 27-nmod
, 18-punct
on 38-case
the 38-det
EURES 38-compound
activity 38-compound
report 18-obl
2005 41-nummod
- 41-punct
2005 38-dep
: 38-punct
Towards 48-case
a 48-det
single 48-amod
European 48-amod
labour 48-compound
market 38-nmod
. 7-punct

Advancing 0-root
African 5-amod
agriculture 5-compound
- 5-punct
Proposal 1-obj
for 11-case
agricultural 11-amod
development 11-compound
and 10-cc
food 8-conj
security 1-obl
in 13-case
Africa 11-nmod

Slums 8-nsubj
such 5-case
as 2-fixed
Cité 5-compound
Soleil 1-nmod
are 8-cop
especially 8-advmod
prone 0-root
to 10-case
contagion 8-obl
due 16-case
to 11-fixed
very 14-advmod
bad 16-amod
hygiene 16-compound
conditions 8-obl
and 19-cc
poor 19-amod
access 16-conj
to 21-mark
clean 19-acl
water 21-obj
. 8-punct

Because 3-mark
there 3-expl
was 26-advcl
clearly 3-advmod
no 7-det
MCAD 7-compound
antigen 3-nsubj
detected 7-acl
in 14-case
MCAD 14-compound
− 10-dep
/ 10-punct
− 10-dep
mice 8-obl
, 26-punct
the 19-det
residual 19-amod
dehydrogenase 19-compound
activity 26-nsubj
measured 19-acl
with 24-case
these 24-det
two 24-nummod
substrates 20-obl
must 26-aux
represent 0-root
the 28-det
activity 26-obj
of 38-case
other 32-amod
chain 32-compound
length 34-dep
– 34-punct
specific 38-amod
acyl 37-compound
- 37-punct
CoA 38-compound
dehydrogenases 28-nmod
. 26-punct

I 3-nsubj
should 3-aux
like 0-root
to 5-mark
recall 3-xcomp
that 5-obj
at 9-case
first 9-amod
reading 5-obl
Parliament 11-nsubj
adopted 9-acl:relcl
42 13-nummod
amendments 11-obj
. 3-punct

At 4-case
the 4-det
other 4-amod
extremity 7-obl
, 7-punct
photoreceptors 7-nsubj
terminate 0-root
with 10-case
synaptic 10-amod
endings 7-obl
that 12-nsubj
make 10-acl:relcl
contact 12-obj
with 16-case
the 16-det
processes 12-obl
of 21-case
horizontal 21-amod
and 20-cc
bipolar 18-conj
cells 16-nmod
[ 23-punct
31,32 12-dep
] 23-punct
. 7-punct

Our 4-nmod:poss
Sakharov 3-compound
Prize 4-compound
winners 8-nsubj
have 8-aux
often 8-advmod
been 8-cop
unable 0-root
to 10-mark
come 8-xcomp
here 10-advmod
to 13-mark
receive 10-xcomp
the 15-det
prize 13-obj
. 8-punct

As 3-case
a 3-det
consequence 32-obl
of 7-case
the 7-det
initial 7-amod
establishment 3-nmod
of 13-case
anterior 11-amod
- 11-punct
posterior 12-obl:npmod
positioned 13-amod
information 7-nmod
within 16-case
the 16-det
limb 13-nmod
by 23-case
SHH 23-compound
and 22-cc
/ 19-punct
or 19-cc
BMP 18-conj
signaling 16-nmod
, 32-punct
the 27-det
interdigital 27-amod
mesenchyme 32-nsubj
of 31-case
the 31-det
hand 31-compound
plate 27-nmod
becomes 0-root
specified 32-xcomp
in 37-case
a 37-det
graded 37-amod
manner 33-obl
. 32-punct

They 2-nsubj
marveled 0-root
at 5-case
his 5-nmod:poss
answer 2-obl
, 2-punct
and 9-cc
were 9-cop
silent 2-conj
. 2-punct

Mr 2-compound
President 7-nsubj
, 2-punct
avian 5-amod
influenza 2-appos
has 7-aux
affected 0-root
poultry 9-compound
populations 7-obj
in 12-case
nine 12-nummod
countries 9-nmod
in 19-case
Asia 19-compound
so 16-advmod
far 18-dep
, 18-punct
namely 19-compound
Cambodia 7-obl
, 19-punct
the 22-det
People 24-nmod:poss
's 22-case
Republic 19-appos
of 26-case
China 24-nmod
, 7-punct
including 32-case
the 32-det
special 32-amod
administrative 32-amod
region 7-obl
of 46-case
Hong 46-compound
Kong 46-compound
, 46-punct
Indonesia 46-appos
, 46-punct
Japan 46-appos
, 46-punct
Laos 46-appos
, 46-punct
Pakistan 46-appos
, 46-punct
South 46-appos
Korea 32-nmod
, 32-punct
Thailand 32-appos
and 50-cc
Vietnam 48-conj
. 7-punct

For 4-case
the 4-det
official 4-amod
signing 8-obl
, 8-punct
I 8-nsubj
should 8-aux
like 0-root
to 10-mark
welcome 8-xcomp
Minister 12-compound
Győri 10-obj
and 15-cc
Maroš 15-compound
Šefčovič 12-conj
, 12-punct
Vice-President 12-conj
of 21-case
the 21-det
European 21-compound
Commission 17-nmod
, 12-punct
and 25-cc
our 25-nmod:poss
colleagues 12-conj
Diana 27-compound
Wallis 25-dep
, 12-punct
Vice-President 12-conj
of 33-case
the 33-det
European 33-compound
Parliament 29-nmod
, 29-punct
who 41-nsubj
was 41-cop
in 41-case
the 39-det
negotiator 41-nmod:poss
's 39-case
team 29-acl:relcl
, 12-punct
Vice-President 45-compound
Isabelle 45-compound
Durant 12-conj
, 45-punct
Vice-President 49-compound
Rainer 49-compound
Wieland 45-conj
and 52-cc
Carlo 52-compound
Casini 45-conj
, 12-punct
Chair 12-conj
of 57-case
the 57-det
Committee 54-nmod
on 60-case
Constitutional 60-amod
Affairs 57-nmod
and 64-cc
also 64-advmod
the 64-det
rapporteur 12-conj
. 8-punct

To 2-mark
test 26-advcl
the 4-det
hypothesis 2-obj
that 16-mark
a 8-det
temporal 8-amod
delay 16-nsubj
in 11-case
the 11-det
onset 8-nmod
of 14-case
transcriptional 14-amod
programs 11-nmod
is 16-cop
crucial 2-ccomp
for 19-case
the 19-det
control 16-obl
of 23-case
appropriate 23-amod
neuronal 23-amod
maturation 19-nmod
, 26-punct
we 26-nsubj
studied 0-root
the 28-det
development 56-nsubj:pass
of 32-case
proprioceptive 32-amod
DRG 32-compound
neurons 28-nmod
, 56-punct
since 36-case
transcriptional 36-amod
effectors 56-obl
regulated 36-acl
by 42-case
target 41-obl
- 41-punct
derived 42-amod
signals 37-obl
, 42-punct
as 47-cc
well 44-fixed
as 44-fixed
some 42-conj
of 52-case
their 52-nmod:poss
downstream 52-amod
biological 52-amod
actions 47-nmod
, 56-punct
have 56-aux
been 56-aux:pass
identified 26-ccomp
for 59-case
these 59-det
neurons 56-obl
. 26-punct

MM 4-nsubj
and 3-cc
MN 1-conj
carried 0-root
out 4-compound:prt
ES 7-compound
cell 8-compound
culture 4-obj
. 4-punct

I 2-nsubj
gave 0-root
you 2-iobj
your 5-nmod:poss
master 7-nmod:poss
's 5-case
house 2-obj
, 7-punct
and 13-cc
your 11-nmod:poss
master 13-nmod:poss
's 11-case
wives 7-conj
into 16-case
your 16-nmod:poss
bosom 13-nmod
, 2-punct
and 19-cc
gave 2-conj
you 19-iobj
the 22-det
house 19-obj
of 24-case
Israel 22-nmod
and 27-cc
of 27-case
Judah 24-conj
; 2-punct
and 41-cc
if 36-mark
that 36-nsubj
would 36-aux
have 36-aux
been 36-cop
too 36-advmod
little 41-advcl
, 41-punct
I 41-nsubj
would 41-aux
have 41-aux
added 2-conj
to 43-case
you 41-obl
many 47-nummod
more 44-advmod
such 47-amod
things 43-dep
. 2-punct

Now 18-advmod
the 3-det
rest 18-nsubj
of 6-case
the 6-det
acts 3-nmod
of 8-case
Joash 6-nmod
, 3-punct
and 11-cc
all 3-conj
that 14-obj
he 14-nsubj
did 11-acl:relcl
, 3-punct
are 18-cop
n't 18-advmod
they 0-root
written 18-acl
in 22-case
the 22-det
book 19-obl
of 24-case
the 22-nmod
chronicles 24-dep
of 28-case
the 28-det
kings 24-nmod
of 30-case
Judah 28-nmod
? 18-punct

For 3-dep
you 3-nsubj
love 0-root
the 6-det
best 6-amod
seats 3-obj
in 9-case
the 9-det
synagogues 6-nmod
, 6-punct
and 13-cc
the 13-det
greetings 6-conj
in 16-case
the 16-det
marketplaces 13-nmod
. 3-punct

Sing 0-root
to 3-case
Yahweh 1-obl
a 6-det
new 6-amod
song 3-dep
, 3-punct
and 10-cc
his 10-nmod:poss
praise 3-conj
from 13-case
the 13-det
end 10-nmod
of 16-case
the 16-det
earth 13-nmod
, 3-punct
you 3-conj
who 20-nsubj
go 18-acl:relcl
down 20-compound:prt
to 24-case
the 24-det
sea 20-obl
, 3-punct
and 27-cc
all 3-conj
that 29-nsubj
is 27-acl:relcl
therein 29-advmod
, 3-punct
the 33-det
islands 3-appos
and 36-cc
their 36-nmod:poss
inhabitants 33-conj
. 1-punct

He 3-nsubj
shall 3-aux
bring 0-root
it 3-obj
to 8-case
Aaron 8-nmod:poss
's 6-case
sons 3-obl
, 8-punct
the 11-det
priests 8-appos
; 16-punct
and 16-cc
he 16-nsubj
shall 16-aux
take 3-dep
his 18-nmod:poss
handful 16-obj
of 22-case
its 22-nmod:poss
fine 22-amod
flour 18-nmod
, 18-punct
and 27-cc
of 27-case
its 27-nmod:poss
oil 18-conj
, 18-punct
with 32-case
all 32-det:predet
its 32-nmod:poss
frankincense 18-nmod
; 16-punct
and 38-cc
the 36-det
priest 38-nsubj
shall 38-aux
burn 3-conj
its 40-nmod:poss
memorial 38-obj
on 43-case
the 43-det
altar 38-obl
, 43-punct
an 46-det
offering 43-appos
made 46-acl
by 49-case
fire 47-obl
, 43-punct
of 54-case
a 54-det
pleasant 54-amod
aroma 43-nmod
to 56-case
Yahweh 54-nmod
. 3-punct

The 2-det
migration 6-nsubj
of 4-case
labour 2-nmod
is 6-aux
continuing 0-root
to 8-mark
grow 6-xcomp
, 14-punct
not 14-advmod
only 14-advmod
at 14-case
global 14-amod
level 8-obl
, 14-punct
but 19-cc
within 19-case
the 19-det
EU 14-conj
as 8-advmod
well 20-fixed
. 6-punct

Therefore 4-advmod
, 4-punct
it 4-nsubj
appears 0-root
that 17-mark
growth 7-compound
retardation 17-nsubj
caused 7-acl
by 11-case
cholesterol 11-compound
deficiency 8-obl
was 17-cop
primarily 17-advmod
because 17-case
of 17-case
an 17-det
inhibition 4-ccomp
of 20-case
cell 20-compound
growth 17-nmod
and 22-cc
proliferation 20-conj
, 17-punct
rather 27-cc
than 24-fixed
an 27-det
increase 17-conj
in 30-case
cell 30-compound
death 27-nmod
. 4-punct

They 4-nsubj
shall 4-aux
not 4-advmod
hunger 0-root
nor 6-cc
thirst 4-conj
; 4-punct
neither 4-dep
shall 14-advcl
the 11-det
heat 9-nsubj
nor 13-case
sun 11-nmod
strike 4-conj
them 14-dep
: 4-punct
for 25-mark
he 25-nsubj
who 20-nsubj
has 18-acl:relcl
mercy 20-obj
on 23-case
them 21-nmod
will 25-aux
lead 35-advcl
them 25-obj
, 35-punct
even 35-advmod
by 30-case
springs 28-obl
of 32-case
water 30-nmod
he 35-nsubj
will 35-aux
guide 4-parataxis
them 35-obj
. 4-punct

As 10-advmod
well 1-fixed
as 5-case
colorectal 5-amod
polyps 1-obl
, 10-punct
these 8-det
individuals 10-nsubj
can 10-aux
develop 0-root
extracolonic 12-amod
symptoms 10-obj
, 12-punct
among 15-case
which 20-dep
are 20-dep
upper 20-amod
gastrointestinal 19-amod
tract 20-compound
polyps 12-acl:relcl
, 20-punct
congenital 23-amod
hypertrophy 20-conj
of 28-case
the 28-det
retinal 27-amod
pigment 28-compound
epithelium 23-nmod
, 20-punct
desmoid 31-amod
tumors 20-conj
, 20-punct
disorders 20-conj
of 39-case
the 39-det
maxillary 39-amod
and 38-cc
skeletal 36-conj
bones 33-nmod
, 20-punct
and 43-cc
dental 43-amod
abnormalities 20-conj
[ 45-punct
6 20-dep
] 45-punct
. 10-punct

I 3-nsubj
will 3-aux
prepare 0-root
destroyers 3-obj
against 6-case
you 4-nmod
, 4-punct
everyone 4-appos
with 11-case
his 11-nmod:poss
weapons 8-nmod
; 3-punct
and 16-cc
they 16-nsubj
shall 16-aux
cut 3-conj
down 16-compound:prt
your 20-nmod:poss
choice 20-compound
cedars 16-obj
, 16-punct
and 23-cc
cast 16-conj
them 23-obj
into 27-case
the 27-det
fire 23-obl
. 3-punct

Gehazi 2-nsubj
said 0-root
, 2-punct
	 punct-2:punct
My 6-nmod:poss
lord 14-nsubj
, 14-punct
O 9-compound
king 14-nsubj
, 14-punct
this 14-nsubj
is 14-cop
the 14-det
woman 2-ccomp
, 2-punct
and 20-cc
this 20-nsubj
is 20-cop
her 20-nmod:poss
son 2-conj
, 20-punct
whom 24-obj
Elisha 24-nsubj
restored 20-acl:relcl
to 26-case
life 24-obl
. 2-punct
	 punct-2:punct

They 2-nsubj
said 0-root
to 4-case
him 2-obl
, 2-punct
	 punct-2:punct
The 8-det
things 9-nsubj
concerning 2-dep
Jesus 9-obj
, 10-punct
the 13-det
Nazarene 10-appos
, 10-punct
who 21-nsubj
was 21-cop
a 18-det
prophet 19-obl:npmod
mighty 21-advmod
in 21-case
deed 10-acl:relcl
and 23-cc
word 21-conj
before 25-case
God 21-obl
and 29-cc
all 29-det:predet
the 29-det
people 25-conj
; 2-punct

Identifying 4-csubj
such 3-amod
loci 1-obj
allows 0-root
screening 4-xcomp
for 7-case
individuals 5-obl
with 11-case
an 11-det
increased 11-amod
risk 5-obl
of 14-case
developing 14-amod
glaucoma 11-nmod
[ 16-punct
11 5-dep
] 16-punct
. 4-punct

Mr 2-compound
President 16-nsubj
, 2-punct
Commissioner 2-appos
, 2-punct
ladies 2-appos
and 8-cc
gentlemen 6-conj
, 2-punct
first 2-advmod
of 12-case
all 2-nmod
, 16-punct
I 16-nsubj
would 16-aux
like 0-root
to 18-mark
salute 16-xcomp
and 20-cc
thank 18-conj
all 22-det:predet
those 18-obj
speaking 22-acl
about 26-case
this 26-det
report 23-advcl
, 26-punct
which 29-nsubj
resulted 26-acl:relcl
in 33-case
a 33-det
large 33-amod
majority 29-obl
in 36-case
the 36-det
Committee 33-nmod
on 39-case
the 39-det
Environment 29-obl
, 39-punct
Public 42-compound
Health 39-conj
and 45-cc
Food 45-compound
Safety 39-conj
: 26-punct
55 48-nummod
votes 26-obl
for 48-case
, 26-punct
3 26-obl
against 51-case
and 55-cc
no 55-det
abstentions 22-conj
. 16-punct

Despite 3-case
these 3-det
similarities 19-obl
, 19-punct
the 8-det
differential 8-amod
expression 8-compound
patterns 19-nsubj
of 15-case
μ 11-compound
- 15-compound
and 13-cc
m 11-conj
- 11-punct
calpain 8-nmod
in 18-case
mammalian 18-amod
tissues 15-nmod
suggest 0-root
they 21-nsubj
have 19-ccomp
some 27-det
isoform 24-obl:npmod
specific 27-amod
and 26-cc
distinct 24-conj
functions 21-obj
. 19-punct

He 2-nsubj
gathered 0-root
all 4-dep
Judah 2-obj
and 6-cc
Benjamin 4-conj
, 2-punct
and 27-cc
those 27-nsubj
who 11-nsubj
lived 9-acl:relcl
with 13-case
them 11-obl
out 16-case
of 16-case
Ephraim 11-obl
and 18-cc
Manasseh 16-conj
, 11-punct
and 26-cc
out 11-advmod
of 23-case
Simeon 21-obl
: 26-punct
for 26-case
they 11-conj
fell 2-conj
to 29-case
him 27-obl
out 32-case
of 32-case
Israel 27-obl
in 34-case
abundance 32-nmod
, 27-punct
when 38-advmod
they 38-nsubj
saw 27-advcl
that 45-mark
Yahweh 45-nsubj
his 42-nmod:poss
God 40-dep
was 45-cop
with 45-case
him 38-ccomp
. 2-punct

Previous 2-amod
studies 6-nsubj
on 4-case
sitosterolemia 2-nmod
have 6-aux
suggested 0-root
a 8-det
defect 6-obj
involving 14-case
a 14-det
putative 14-amod
sterol 14-compound
' 14-punct
transporter 8-nmod
' 14-punct
expressed 14-acl
in 21-case
the 21-det
intestinal 21-amod
brush 21-compound
border 16-obl
and 28-cc
/ 22-punct
or 22-cc
the 28-det
hepatic 28-amod
canalicular 28-amod
membrane 21-conj
[ 30-punct
10,11 16-dep
] 30-punct
. 6-punct

Although 6-mark
calpain 3-compound
activity 6-nsubj:pass
was 6-aux:pass
first 6-advmod
identified 23-advcl
four 8-nummod
decades 6-obl:tmod
ago 6-obl
, 23-punct
a 13-det
clear 13-amod
understanding 23-nsubj
of 16-case
the 16-det
substrates 13-nmod
and 18-cc
functions 16-conj
of 21-case
the 21-det
enzymes 16-nmod
has 23-aux
remained 0-root
elusive 23-xcomp
. 23-punct

We 3-nsubj
will 3-aux
have 0-root
the 6-det
PCC 6-compound
meeting 3-obj
in 8-case
Kiev 6-nmod
and 10-cc
Odessa 8-conj
at 13-case
the 13-det
beginning 3-obl
of 16-case
next 16-amod
month 13-nmod
. 3-punct

	 punct-22:punct
Woe 22-nsubj
to 4-case
you 2-nmod
, 22-punct
you 8-nsubj
blind 8-amod
guides 22-parataxis
, 8-punct
who 11-nsubj
say 8-acl:relcl
, 8-punct
' 8-punct
Whoever 15-nsubj
swears 8-dep
by 18-case
the 18-det
temple 15-obl
, 22-punct
it 22-nsubj
is 22-cop
nothing 0-root
; 22-punct
but 36-cc
whoever 26-nsubj
swears 36-advcl
by 29-case
the 29-det
gold 26-obl
of 32-case
the 32-det
temple 29-nmod
, 36-punct
he 36-nsubj:pass
is 36-aux:pass
obligated 22-parataxis
. 22-punct
' 22-punct

In 2-case
order 12-obl
to 4-mark
economise 2-acl
and 6-cc
save 4-conj
the 8-det
environment 4-obj
, 12-punct
we 12-nsubj
should 12-aux
stop 0-root
wasting 12-xcomp
